customer_id,first_name,last_name,email,phone,street_address,city,postal_code,country,sign_up_date,lease_start,lease_end,unit_id,unit_size,monthly_fee,payment_status,last_payment_date,notes
C101451,Sophia,Gonzalez,sgonzalez@outlook.com,0031-6-81354823,Langestraat 75,Amsterdam,8167,Nederland,25-Feb-2019,10-18-2018,04-Jul-2021,#164,—,95.9,pending,12-14-2023,Key lost
C101334,Ava,Taylor,avata@gmail.com,0031-6-84678691,Dorpsweg 61,Amstelveen,7094 AA,Nederland,12-12-2020,20230530,active,u1278,5,279.99,PAID,2024-06-07,Moved out
C101761,Evelyn,Hernandez,ehernandez@gmail.com,619095653,Dorpsweg 115,Haarlemmermeer,6944 AC,Nederland,30.08.2017,2022/05/19,29.08.2025,u1234,15m2,88.95,paid,03/11/2021,Prefers email
C101735,Oliver,Williams,owilliams@hotmail.com,,Dorpsweg 192,Haarlemmermeer,2766 AB,Ned.,23/05/2022,01-03-2018,31-Jul-2025,U1095,8 sqm,36.9,late,06/04/2024,警告: unpaid
C101576,Harper,Thomas,harperth@gmail.com,0031-6-06466731,Baker St 130,Leiden,6294 B,NL,01-04-2021,30/09/2018,2026-04-05,219A,unknown,84.02,suspended,,警告: unpaid
C101110,Amelia,Gonzalez,amelia10@gmail.com,PHONE342,Main St 73,Rotterdam,5285 AB,Nederland,08/02/2023,21.11.2018,2020/02/07,#477,5m2,309.57,Overdue,2021-06-30,telefono incorrecto
C101594,Charlotte,Williams,charlottewi@yahoo.com,06-21629362,Langestraat 148,Amstelvveen,5585 AC,Nederland,2023/10/30,25/04/2017,2025-05-11,Unit 166,—,454.59,paid,26.07.2019,
C100530,Liam,Wilson,liam.wilson@outlook.com,053388249,Vijzelstraat 186,Amsterdam,9957 AA,Ned.,06-30-2024,2021/10/20,active,U1099,—,255.8,overdue,2022-05-18,Key lost
C100651,Emma,Brown,ebrown@gmail.com,601552264,Stationsplein 82,Haarlem,7215,Nederland,2017-07-25,25/02/2025,29-Nov-2027,u1367,2 sqm,285.26,paid,2024/09/26,
C100819,Amelia,Martinez,amartinez at inboxstorage.eu,0031-6-67646290,Dorpsweg 116,Alkmaar,9660 B,Netherlands,2024-08-08,2016/01/26,01-15-2021,#29,15m2,447.01,pending,2020/04/27,Customer asked for discount
C100771,Charlotte,Smith,charlotte42@yahoo.com,0031-6-08772269,Vijzelstraat 90,Haarlem,8154 B,Nederland,28/03/2017,2020-12-11,07-24-2027,Unit 73,8 sqm,292.01,PAID,01/09/2023,telefono incorrecto
C101878,Charlotte,Martin,charlotte20@hotmail.com,643837176,Main St 23,Amsterdam,1184 AC,Nederland,11-12-2023,13.04.2018,02-16-2023,358A,—,196.97,PAID,06-27-2019,Key lost
C100915,Jones,Alexande,jalexander@yahoo.com,412163824,Market Rd 59,Haarlemmermeer,8991 AB,NL,2023/09/27,02-27-2025,18.10.2022,378A,unknown,389.84,suspended,2018-11-21,Pays cash
